"keyword","search_intent","recommended_page","current_page","new_page_needed","priority","keyword_cluster","funnel_stage","pakistan_search_volume","evidence"
"gadgets cash on delivery Pakistan","Transactional","/shop/electronics-gadgets","/shop/electronics-gadgets","No","P2","Gadgets","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Candidate modifier; verify in Pakistan Keyword Planner; no lowest-price/COD promise"
"gadgets home delivery Pakistan","Transactional","/shop/electronics-gadgets","/shop/electronics-gadgets","No","P2","Gadgets","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Candidate modifier; verify in Pakistan Keyword Planner; no lowest-price/COD promise"
"buy kitchen accessories online Pakistan","Transactional","/shop/kitchenware","/shop/kitchenware","No","P2","Kitchen","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Candidate modifier; verify in Pakistan Keyword Planner; no lowest-price/COD promise"
"massage gun latest price Pakistan","Transactional","/product/pickora-1973702573","/product/pickora-1973702573","No","P2","Wellness","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Candidate modifier; verify in Pakistan Keyword Planner; no lowest-price/COD promise"
"money detector online price Pakistan","Transactional","/shop/money-detectors","/shop/money-detectors","No","P2","Detectors","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Candidate modifier; verify in Pakistan Keyword Planner; no lowest-price/COD promise"
"portable fan best price Pakistan","Transactional","/shop/portable-fans","/shop/portable-fans","No","P2","Fans","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Candidate modifier; verify in Pakistan Keyword Planner; no lowest-price/COD promise"
"unique products Pakistan","Transactional","/shop","/shop","No","P2","Discovery","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Candidate modifier; verify in Pakistan Keyword Planner; no lowest-price/COD promise"
"trending products Pakistan","Transactional","/shop","/shop","No","P2","Discovery","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Candidate modifier; verify in Pakistan Keyword Planner; no lowest-price/COD promise"
"home gadgets Pakistan","Transactional","/shop/home-essentials","/shop/home-essentials","No","P2","Home","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Candidate modifier; verify in Pakistan Keyword Planner; no lowest-price/COD promise"
"electronics Pakistan","Transactional","/shop/electronics-gadgets","/shop/electronics-gadgets","No","P2","Electronics","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Candidate modifier; verify in Pakistan Keyword Planner; no lowest-price/COD promise"
"cash counting machine price Pakistan","Transactional","None","None","No","P3","Adjacent, not stocked","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Do not target with UV-detector page; no counting machine verified"
"note ginne wali machine price","Transactional","None","None","No","P3","Adjacent, not stocked","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Do not target with UV-detector page; no counting machine verified"
"charging wala pankha price","Transactional","/shop/portable-fans","/shop/portable-fans","No","P2","Roman Urdu / Fans","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Candidate modifier; verify in Pakistan Keyword Planner; no lowest-price/COD promise"
"pani ki bottle ka pump","Transactional","/product/pickora-1971400774","/product/pickora-1971400774","No","P2","Roman Urdu / Home","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Candidate modifier; verify in Pakistan Keyword Planner; no lowest-price/COD promise"
"safai ka mop online","Transactional","/shop/cleaning-products","/shop/cleaning-products","No","P2","Roman Urdu / Cleaning","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Candidate modifier; verify in Pakistan Keyword Planner; no lowest-price/COD promise"
"gadgets delivery Karachi","Transactional","/pages/shipping","None","One shipping page, not six city pages","P3","Delivery","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Coverage must be confirmed; no city-volume claim"
"gadgets delivery Lahore","Transactional","/pages/shipping","None","One shipping page, not six city pages","P3","Delivery","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Coverage must be confirmed; no city-volume claim"
"gadgets delivery Islamabad","Transactional","/pages/shipping","None","One shipping page, not six city pages","P3","Delivery","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Coverage must be confirmed; no city-volume claim"
"gadgets delivery Rawalpindi","Transactional","/pages/shipping","None","One shipping page, not six city pages","P3","Delivery","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Coverage must be confirmed; no city-volume claim"
"gadgets delivery Faisalabad","Transactional","/pages/shipping","None","One shipping page, not six city pages","P3","Delivery","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Coverage must be confirmed; no city-volume claim"
"gadgets delivery Multan","Transactional","/pages/shipping","None","One shipping page, not six city pages","P3","Delivery","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Coverage must be confirmed; no city-volume claim"
